name,cost,description,url_index_to_img,type,quantity
Long Sword,5500,"Λορεμ ιπσθμ δολορ σιτ αμετ, πρι cομμοδο ελιγενδι πετεντιθμ εξ, vερο βλανδιτ προ θτ. Ηινc αλτερα σαπερετ τε μει, ειθσ cλιτα διcερετ αδ cθμ! Ερρεμ νοβισ σιτ cθ, ιδ πρι δολορε απειριαν. Σθσcιπιαντθρ μεδιοcριτατεμ δθο ατ. Αγαμ βρθτε εξπετενδα εξ δθο, vισ διcο δολορεσ αδ, νθλλα ρεπριμιqθε ατ περ. Νο ταντασ νθσqθαμ σεδ, μινιμ λαβοραμθσ δισσεντιθντ ιθσ εθ?",https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/longsword-icon.png,sword,3800
Sunlight Straight Sword,5400,"Ιν θσθ εφφιcιενδι ρεπθδιανδαε? Ιν εθμ ιντελλεγαμ σθσcιπιαντθρ, ειθσ ιλλθμ πρινcιπεσ σεδ ετ. Cθμ διcτασ cονcλθδατθρqθε νο, θτ vιμ vερτερεμ ρεφερρεντθρ. Ετ μελ μολλισ δετραξιτ! Νε σιτ ηινc cιβο φθγιτ. Ατ νοβισ φεθγαιτ πρι.",https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/sunlight_straight_sword-icon.png,sword,6000
Broken Straight Sword,800,"Εθ πρι ρεqθε ταcιματεσ, ατ cθμ φαcερ ταμqθαμ ιμπερδιετ. Φθγιτ οφφενδιτ εφφιcιενδι αν προ, ελιτ φαcερ μελιορε εα ναμ. Εθ ρεγιονε βονορθμ ινcορρθπτε ιθσ, μελ νε σαλε νοστερ. Τε ναμ ηαρθμ βλανδιτ σαλθτανδι, ιδ πθτεντ περιcθλισ περσεcθτι δθο, θτιναμ πθτεντ αντιοπαμ εθμ cθ.",https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/BrokenStraightSword.png,sword,2200
Broadsword,100,"Ετ jθστο μινιμ οπορτερε θσθ, σολθτα ιραcθνδια τε ηασ! Qθο cθ ειθσ vερι σθσcιπιαντθρ, σιμθλ περσιθσ μοδερατιθσ ιδ ηασ? Νισλ μαιορθμ cονσεqθατ προ ει, ναμ ει vιρισ απεριρι μεντιτθμ. Ιθσ δθισ αππελλαντθρ ιν! Αδ ηασ ιντελλεγατ αδvερσαριθμ, ιδqθε vιδερερ ινστρθcτιορ αν vιξ? Cθμ τε ινερμισ οcθρρερετ, αλιqθιδ τιβιqθε εθ προ!",https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/broadsword-icon.png,sword,4800
Astora Straight Sword,5700,"Αν φθγιτ πατριοqθε ελοqθεντιαμ εοσ, δθο εθ qθοδ ρεβθμ! Τε αθδιαμ μαιορθμ ηισ, ηισ θλλθμ μεδιοcριτατεμ νο. Εστ τε μινιμ ορατιο σιμιλιqθε, εξ περ αλια ηομερο. Νο ηασ ηαρθμ λθδθσ βλανδιτ, ατ περιcθλισ δεφινιεβασ cονστιτθαμ μελ!",https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/astora_straight_sword-icon.png,sword,1800
Lothric Knight Sword,2300,"Εθ ηισ νοvθμ περπετθα. Vιμ εθ φερρι μεντιτθμ, δθο οβλιqθε ανcιλλαε σcριπσεριτ νε. Τραcτατοσ διγνισσιμ ρατιονιβθσ μελ ιν, ποσσιμ τριτανι ιδ μεα! Εαμ προπριαε ποστθλαντ σθαvιτατε εθ?",https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/lothric_knight_sword.png,sword,3100
Irithyll Straight Sword,4100,"Προ ιν εροσ πθταντ θταμθρ, ηισ ασσθμ τεμπορ εθ? Θτ vιξ ινcορρθπτε ομιτταντθρ δεφινιτιονεμ, θτ μθνερε εqθιδεμ cοπιοσαε vελ, σιτ μαζιμ σαπιεντεμ αν. Cθ δοcτθσ περσιθσ αδιπισcινγ vελ, ιδ περ vοcεντ ιριθρε cοπιοσαε! Vισ σολεατ απεριρι περιcθλα cθ, εαμ ει αλιqθιπ αππελλαντθρ.",https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/IrithyllStraightSword.png|https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/icon-wp_frost.png,sword,5400
Shortsword,2200,"Λεγενδοσ cοτιδιεqθε ναμ ατ, ηισ αλια ρεπθδιαρε εα? Ελιτ λορεμ νομιναvι ιθσ αδ, λιβερ ειρμοδ δισσεντιετ ιδ δθο? Ασσθμ νεγλεγεντθρ ναμ τε! Vιξ λαβορεσ ελεcτραμ ιντερεσσετ ατ, ηινc φαλλι φαβελλασ εστ νο. Εξερcι απεριρι θλλαμcορπερ ει μεα, εοσ vελιτ ηενδρεριτ qθαερενδθμ αν. Ναμ μοδο φορενσιβθσ.",https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/Shortsword2.png,sword,5700
Cleric's Candlestick,4800,"Περσιθσ εξπετενδα ρεπριμιqθε ατ περ. Ιθσ πθρτο διcιτ τε, περ βλανδιτ vολθπτθα θτ, εθ ιμπεδιτ μενανδρι ινvενιρε ναμ. Ιισqθε cονστιτθτο εθ ναμ, μεισ ασσθμ εστ ατ, ατqθι ερροριβθσ δισπθτανδο ετ πρι. Πθταντ qθαερενδθμ σαδιπσcινγ cθ σιτ? Σιμθλ μενανδρι ηισ νε, τεμπορ τορqθατοσ προ θτ? Πριμα qθαλισqθε θτ δθο, εροσ προμπτα δενιqθε αν δθο, qθι qθεμ vιvενδθμ εξπετενδα εθ.",https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/cleric's_candlestick-icon.png|https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/spell_buff.jpg,sword,4700
Barbed Straight Sword,4700,"Λεγενδοσ cοτιδιεqθε ναμ ατ, ηισ αλια ρεπθδιαρε εα? Ελιτ λορεμ νομιναvι ιθσ αδ, λιβερ ειρμοδ δισσεντιετ ιδ δθο? Ασσθμ νεγλεγεντθρ ναμ τε! Vιξ λαβορεσ ελεcτραμ ιντερεσσετ ατ, ηινc φαλλι φαβελλασ εστ νο. Εξερcι απεριρι θλλαμcορπερ ει μεα, εοσ vελιτ ηενδρεριτ qθαερενδθμ αν. Ναμ μοδο φορενσιβθσ.",https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/barbed_straight_sword-icon.png|https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/icon-wp_bleed.png,sword,2300
